BIN,Type,Generated Full Card Number
324737,Unknown,324737676850168
487873,Visa,4878732000570790
543105,MasterCard,5431057510013550
639066,Unknown,6390667510013550
914103,Unknown,9141037510013550
117620,Unknown,1176207510013550
324990,Unknown,3249907510013550
612183,Unknown,6121837510013550
161615,Unknown,1616157510013550
885937,Unknown,8859377510013550
173948,Unknown,1739487510013550
376787,Unknown,3767877510013550
256757,MasterCard,2567573012279610
555578,MasterCard,5555787585449170
289693,Unknown,2896937585449170
249657,MasterCard,2496570991428010
766772,Unknown,7667720991428010
724674,Unknown,7246740991428010
855415,Unknown,8554150991428010
590903,Unknown,5909030991428010
961904,Unknown,9619040991428010
944850,Unknown,9448500991428010
434187,Visa,4341871783075420
290997,Unknown,2909971783075420
117905,Unknown,1179051783075420
106413,Unknown,1064131783075420
197839,Unknown,1978391783075420
145631,Unknown,1456311783075420
208419,Unknown,2084191783075420
577322,Unknown,5773221783075420
473214,Unknown,4732141783075420
924843,Unknown,9248431783075420
279779,Unknown,2797791783075420
643642,Unknown,6436421783075420
798705,Unknown,7987051783075420
848581,Unknown,8485811783075420
431897,Unknown,4318971783075420
421255,Unknown,4212551783075420
763335,Unknown,7633351783075420
450859,Unknown,4508591783075420
607469,Unknown,6074691783075420
265702,MasterCard,2657024012075180
636247,Unknown,6362474012075180
154328,Unknown,1543284012075180
635616,Unknown,6356164012075180
888262,Unknown,8882624012075180
136925,Unknown,1369254012075180
397060,Unknown,3970604012075180
278182,Unknown,2781824012075180
562132,Unknown,5621324012075180
622758,Unknown,6227584012075180
849449,Unknown,8494494012075180
483071,Unknown,4830714012075180
714958,Unknown,7149584012075180
156034,Unknown,1560344012075180
360267,Diners,36026741129570
693167,Unknown,69316741129570
496340,Visa,4963407401346310
735188,Unknown,7351887401346310
339949,Unknown,3399497401346310
123494,Unknown,1234947401346310
707235,Unknown,7072357401346310
899138,Unknown,8991387401346310
373828,Unknown,3738287401346310
882671,Unknown,8826717401346310
719391,Unknown,7193917401346310
559351,MasterCard,5593519605047030
456971,Unknown,4569719605047030
282760,Unknown,2827609605047030
325421,Unknown,3254219605047030
225976,MasterCard,2259762424764770
848587,Unknown,8485872424764770
260486,MasterCard,2604867938049350
548781,MasterCard,5487815080702390
588048,Unknown,5880485080702390
935128,Unknown,9351285080702390
639676,Unknown,6396765080702390
504483,Unknown,5044835080702390
181133,Unknown,1811335080702390
804271,Unknown,8042715080702390
164710,Unknown,1647105080702390
669665,Unknown,6696655080702390
356985,jcb,3569852829483220
495434,Unknown,4954342829483220
513605,MasterCard,5136056274382120
840050,Unknown,8400506274382120
488540,Unknown,4885406274382120
972283,Unknown,9722836274382120
889762,Unknown,8897626274382120
851368,Unknown,8513686274382120
144111,Unknown,1441116274382120
600625,Unknown,6006256274382120
964859,Unknown,9648596274382120
101726,Unknown,1017266274382120
908580,Unknown,9085806274382120
225752,MasterCard,2257521574253940
396188,Unknown,3961881574253940
849271,Unknown,8492711574253940
451142,Unknown,4511421574253940
914475,Unknown,9144751574253940
608777,Unknown,6087774544378511
572960,Unknown,5729605032778925
607092,Unknown,6070924482232599
134209,Unknown,1342091580368070
908454,Unknown,9084540290863327
381340,Diners,38134038113493
755975,Unknown,7559758475786881
419513,Unknown,4195134995394056
520914,MasterCard,5209141390409384
173268,Unknown,1732683845744283
166448,Unknown,1664481313066647
142277,Unknown,1422779908906906
793306,Unknown,7933067179688101
647454,Discover,6474546129183289
471164,Visa,4711647000834326
977577,Unknown,9775773194731382
451472,Unknown,4514726897380602
556095,MasterCard,5560959927609071
879399,Unknown,8793993327342583
789350,Unknown,7893502698757066
951328,Unknown,9513289536328699
547611,MasterCard,5476114610626809
397880,Diners,39788013308434
616991,Unknown,6169918789291349
578530,Unknown,5785300934162865
720240,Unknown,7202406708332020
484622,Visa,4846229710751178
519956,MasterCard,5199563265543691
418796,Visa,4187967951327521
124312,Unknown,1243128282625252
301777,Diners,30177721436433
940785,Unknown,9407857928499366
965329,Unknown,9653297412762559
275664,Unknown,2756649249845631
195422,Unknown,1954227797118695
303087,Diners,30308760366093
942733,Unknown,9427331104872149
270788,Unknown,2707883666366077
372500,Amex,372500447273132
591730,Unknown,5917304769982568
580680,Unknown,5806804922202618
881529,Unknown,8815291032890949
762433,Unknown,7624332042843053
576768,Unknown,5767688195033411
135733,Unknown,1357333630210218
542088,MasterCard,5420883090914867
141147,Unknown,1411470471391226
694487,Unknown,6944876050247664
522908,Unknown,5229089369138025
132813,Unknown,1328130153770141
667651,Unknown,6676511970858008
396468,Diners,39646803919483
191866,Unknown,1918663890151598
223422,Unknown,2234222075060919
647645,Discover,6476453820308962
194318,Unknown,1943183524645856
807231,Unknown,8072311894037244
592532,Unknown,5925329754306508
742742,Unknown,7427424298400056
467646,Visa,4676461216077453
786632,Unknown,7866321468923721
934995,Unknown,9349956443773811
477076,Visa,4770760605210444
436828,Visa,4368280638374563
172718,Unknown,1727184480526885
509635,Unknown,5096350612628850
131047,Unknown,1310479677892805
576596,Unknown,5765969398171773
510250,Unknown,5102502505932833
337778,Unknown,3377789951276941
191195,Unknown,1911955926412703
457291,Visa,4572914427462154
106377,Unknown,1063771828450581
216818,Unknown,2168186762481200
454872,Visa,4548726681827481
209335,Unknown,2093354588967631
498254,Visa,4982541274154255
975249,Unknown,9752493092856680
187023,Unknown,1870231351764309
864548,Unknown,8645484731360926
752855,Unknown,7528559496411373
866148,Unknown,8661486178112066
477728,Unknown,4777284801534813
687177,Unknown,6871777439756886
112429,Unknown,1124291626244131
109164,Unknown,1091640822437651
641951,Unknown,6419513644974153
393638,Unknown,3936383921009468
259245,Unknown,2592453838433192
455016,Unknown,4550162116042225
272072,Unknown,2720723448260855
328527,Unknown,3285270706654959
577390,Unknown,5773902871819647
274496,Unknown,2744968745703583
777846,Unknown,7778464555460226
779291,Unknown,7792916291565777
169054,Unknown,1690543763536632
603292,Unknown,6032923772757833
278816,Unknown,2788165485769864
134326,Unknown,1343261886023505
377508,Amex,377508234739338
356727,JCB,3567276038508346
799942,Unknown,7999422450073235
462464,Unknown,4624644956240453
691528,Unknown,6915282190657872
914753,Unknown,9147538409671003
289224,Unknown,2892245981982224
492847,Unknown,4928479327187894
282319,Unknown,2823193107179677
617281,Unknown,6172816438300714
904765,Unknown,9047651263682944
562674,Unknown,5626745831802113
798238,Unknown,7982384171943712
269207,Unknown,2692077990078747
323552,Unknown,3235523874063651
317898,Unknown,3178984911434952
685291,Unknown,6852918749027738
561354,Unknown,5613542531415419
607107,Unknown,6071071851688688
915466,Unknown,9154664267531601
868148,Unknown,8681485021363412
851664,Unknown,8516645077657992
931640,Unknown,9316401468035203
859052,Unknown,8590524656507255
979423,Unknown,9794232990018604
298656,Unknown,2986566628900645
553800,Unknown,5538003470421465
269826,Unknown,2698262654158828
876965,Unknown,8769652407894565
780652,Unknown,7806529092531108
198460,Unknown,1984609153928143
763894,Unknown,7638940086486424
479069,Unknown,4790692808862301
561487,Unknown,5614878359484418
683744,Unknown,6837443883844799
193726,Unknown,1937262603613841
317619,Unknown,3176193574502122
458039,Visa,4580392225602181
926771,Unknown,9267712665498666
477308,Unknown,4773080897342654
798529,Unknown,7985292988291023
740917,Unknown,7409172968358953
543721,MasterCard,5437212359694200
140514,Unknown,1405148338515243
305108,Diners,30510884164664
273305,Unknown,2733057486057068
176941,Unknown,1769416183907975
718584,Unknown,7185842265737911
339645,Unknown,3396458322698511
739232,Unknown,7392323983214828
705632,Unknown,7056321214697981
993281,Unknown,9932813357687699
927821,Unknown,9278211426707216
487733,Visa,4877338051635887
328542,Unknown,3285421064228560
994215,Unknown,9942153726299054
740965,Unknown,7409657651819810
990354,Unknown,9903547785244391
862026,Unknown,8620268612770837
744261,Unknown,7442611593440833
707603,Unknown,7076030397824155
140405,Unknown,1404057137101529
256527,Unknown,2565275478417131
168885,Unknown,1688852566764668
316281,Unknown,3162813366781605
534750,Unknown,5347508089892894
117784,Unknown,1177843433682368
572137,Unknown,5721375155117221
203289,Unknown,2032893887623793
355032,JCB,3550325373429644
145985,Unknown,1459856024729568
855260,Unknown,8552603627609047
554079,MasterCard,5540790608476942
182697,Unknown,1826977893351795
829137,Unknown,8291372583345667
633686,Unknown,6336860169162454
777066,Unknown,7770660762951610
633738,Unknown,6337382266069970
340116,Amex,340116565180473
936746,Unknown,9367468272312988
160783,Unknown,1607834037835122
622985,Unknown,6229851765318834
755695,Unknown,7556959998597565
572596,Unknown,5725961213920593
539910,Unknown,5399104340203111
552354,Unknown,5523545151766730
668496,Unknown,6684963362381767
123409,Unknown,1234098014513338
993632,Unknown,9936323618499179
929413,Unknown,9294133387148566
490980,Unknown,4909809346919120
686153,Unknown,6861533555088883
237752,Unknown,2377521596865018
281215,Unknown,2812151066178294
443468,Unknown,4434687756269086
775447,Unknown,7754478850553155
374887,Amex,374887124796149
706777,Unknown,7067771954171171
783120,Unknown,7831204273801235
913328,Unknown,9133287476988486
420736,Unknown,4207367714111861
665910,Unknown,6659106573658315
270051,Unknown,2700519889632790
936765,Unknown,9367657300088033
821836,Unknown,8218369398010788
741357,Unknown,7413579859042963
446575,Visa,4465755911097055
791076,Unknown,7910765847241234
920746,Unknown,9207463728543130
493909,Visa,4939094393946904
752078,Unknown,7520789696327803
242054,Unknown,2420545738360881
792658,Unknown,7926587335302095
777273,Unknown,7772731867704715
212890,Unknown,2128905011188078
134587,Unknown,1345873715557958
976226,Unknown,9762268386098235
394897,Diners,39489738763259
817074,Unknown,8170741680604776
408664,Visa,4086642819634434
187172,Unknown,1871723368163581
915505,Unknown,9155054900451689
553988,Unknown,5539888640116541
597893,Unknown,5978932633895342
287006,Unknown,2870066170818912
266012,Unknown,2660128242126763
202397,Unknown,2023977255057320
805923,Unknown,8059238460153620
350066,JCB,3500663504532506
154684,Unknown,1546841123484006
283568,Unknown,2835688346670618
219212,Unknown,2192129941618346
130368,Unknown,1303687321235141
921447,Unknown,9214473701903443
301041,Diners,30104149970544
508929,Unknown,5089297350138137
504260,Unknown,5042607775226180
306247,Unknown,3062471464543525
493365,Unknown,4933656583013849
691477,Unknown,6914770981981752
437202,Unknown,4372026850187698
878566,Unknown,8785667756589893
263664,Unknown,2636643171871057
689062,Unknown,6890626880303896
930518,Unknown,9305182829211183
404115,Unknown,4041154396653577
544108,MasterCard,5441088091841956
833717,Unknown,8337179442289224
564990,Unknown,5649907107707702
895693,Unknown,8956938092833290
114995,Unknown,1149956969717734
706051,Unknown,7060511180065517
496987,Visa,4969873760866047
967339,Unknown,9673395533256662
157811,Unknown,1578118723695114
472182,Visa,4721829940687160
422545,Visa,4225457938528900
625150,China Union Pay,6251508001728947
168260,Unknown,1682603634744506
679153,Unknown,6791533024445285
348175,Amex,348175032829368
722899,Unknown,7228999058904681
360612,Diners,36061222290877
315657,Unknown,3156577548469338
111362,Unknown,1113625871379736
773004,Unknown,7730045706393289
465125,Unknown,4651258231608434
124198,Unknown,1241986980617372
768339,Unknown,7683395948712902
609353,Unknown,6093538963486265
552022,MasterCard,5520227943991770
196024,Unknown,1960246283574394
387551,Diners,38755157398380
408402,Unknown,4084024037124868
277543,Unknown,2775438591447678
603105,Unknown,6031057615205505
201618,Unknown,2016180513561738
739548,Unknown,7395484650779512
279196,Unknown,2791960604484617
245557,Unknown,2455574538013810
187682,Unknown,1876823486934196
954982,Unknown,9549825059394706
649839,Unknown,6498392005675950
349338,Amex,349338049161732
692171,Unknown,6921711571283772
605189,Unknown,6051897345870003
132224,Unknown,1322245211343539
975946,Unknown,9759468883960707
275574,Unknown,2755744766793317
463996,Unknown,4639969383816018
610686,Unknown,6106865697450794
858385,Unknown,8583855882581358
658629,Unknown,6586299573537115
349107,Amex,349107692029361
588968,Unknown,5889682108705316
948763,Unknown,9487636671543859
628559,Unknown,6285590888481643
711552,Unknown,7115522445619409
311946,Unknown,3119465727791372
539764,Unknown,5397645137370509
494850,Visa,4948508551291337
446536,Visa,4465365028849775
987103,Unknown,9871037922696849
355364,JCB,3553641016554608
509944,Unknown,5099440834681992
455237,Visa,4552376999398966
631386,Unknown,6313867163209787
813309,Unknown,8133090523059404
432074,Visa,4320744983625814
368217,Diners,36821768717494
101943,Unknown,1019439585386505
255232,Unknown,2552328816731370
199676,Unknown,1996762689755777
124304,Unknown,1243048392858159
817352,Unknown,8173520232544043
634248,Unknown,6342489225933223
297747,Unknown,2977478291348149
316518,Unknown,3165188289146050
282986,Unknown,2829866434647298
939842,Unknown,9398420084798550
554535,Unknown,5545353300526492
152247,Unknown,1522472219926530
699969,Unknown,6999699535433467
844142,Unknown,8441425819618506
487387,Unknown,4873878260323364
406955,Unknown,4069552286602440
686302,Unknown,6863022376997298
548890,Unknown,5488905245037939
180472,Unknown,1804726526985832
219264,Unknown,2192643969997953
800461,Unknown,8004619490472307
671244,Unknown,6712440020257575
250444,Unknown,2504442762174095
480840,Unknown,4808406810022495
938864,Unknown,9388640528844004
425984,Unknown,4259844797693681
765472,Unknown,7654722577543604
500168,Unknown,5001687831688603
736689,Unknown,7366899519917564
428998,Visa,4289981572488185
879671,Unknown,8796718401347289
153678,Unknown,1536780627920526
800107,Unknown,8001071324900386
188166,Unknown,1881662606631187
130094,Unknown,1300948851404194
548096,MasterCard,5480963128405596
855391,Unknown,8553910463674180
117291,Unknown,1172912686322076
600923,Unknown,6009231374559835
104632,Unknown,1046326870836866
453560,Unknown,4535603465514068
651371,Discover,6513711610427632
873491,Unknown,8734914458078307
423425,Unknown,4234252684703074
111939,Unknown,1119390451891310
269004,Unknown,2690040990448138
262277,Unknown,2622771743798290
989535,Unknown,9895356777555320
204161,Unknown,2041613527455341
141935,Unknown,1419351879608264
700689,Unknown,7006899799239712
995816,Unknown,9958161496577090
753854,Unknown,7538544008895194
766744,Unknown,7667444579130739
664077,Unknown,6640777652690871
106484,Unknown,1064842857711992
926250,Unknown,9262502432255939
137165,Unknown,1371655663247953
315416,Unknown,3154162852598392
139339,Unknown,1393390855457941
293530,Unknown,2935306099623465
218262,Unknown,2182626639496671
815894,Unknown,8158943367319846
968574,Unknown,9685744135093171
756294,Unknown,7562948380600853
214647,Unknown,2146477946216585
123580,Unknown,1235805516437045
883332,Unknown,8833321525384735
434977,Visa,4349772137131256
624630,Unknown,6246305438874982
630790,Unknown,6307907848608057
554003,MasterCard,5540039136133169
803906,Unknown,8039061326969550
359832,JCB,3598321349248340
891940,Unknown,8919405466054555
725036,Unknown,7250361252224246
261295,Unknown,2612957644324722
845283,Unknown,8452834087275265
834782,Unknown,8347821064725749
467915,Unknown,4679159184881378
953440,Unknown,9534403992762730
783708,Unknown,7837086511648326
433979,Unknown,4339795570002698
949283,Unknown,9492837842619569
783438,Unknown,7834381415425410
824061,Unknown,8240617434412340
717431,Unknown,7174319664146527
863767,Unknown,8637671016400469
660616,Unknown,6606166159063600
582689,Unknown,5826895104155364
984482,Unknown,9844821249917373
748934,Unknown,7489341281828079
318761,Unknown,3187616566670867
136699,Unknown,1366993984537057
240734,Unknown,2407343966888216
775837,Unknown,7758376493987131
171804,Unknown,1718045658543894
633238,Unknown,6332385828351261
371366,Amex,371366845626084
579742,Unknown,5797429001085644
614664,Unknown,6146648421043405
775375,Unknown,7753753213346711
707899,Unknown,7078998788675770
136666,Unknown,1366661796531938
145443,Unknown,1454438142358722
904393,Unknown,9043938813110771
994817,Unknown,9948178918492748
198823,Unknown,1988231666074900
766295,Unknown,7662958150332923
360050,Diners,36005070362165
441592,Unknown,4415921653674928
236985,Unknown,2369858537994885
866505,Unknown,8665051203424336
654490,Unknown,6544908757239103
608914,Unknown,6089147769954112
201509,Unknown,2015098910210990
757303,Unknown,7573032033664986
634098,Unknown,6340988153770327
358290,JCB,3582903413234297
333178,Unknown,3331786656752450
638985,Unknown,6389853979806127
109313,Unknown,1093133555389519
688226,Unknown,6882262102689203
795120,Unknown,7951209664378361
650772,Discover,6507729283694628
749907,Unknown,7499077544992316
947096,Unknown,9470961586138092
797763,Unknown,7977630088247380
368134,Diners,36813444287856
844773,Unknown,8447731792004491
803035,Unknown,8030352386559754
168840,Unknown,1688409553058478
347890,Amex,347890918081357
552466,Unknown,5524663940128631
773622,Unknown,7736226702141497
857206,Unknown,8572067452485483
348543,Amex,348543741477560
317482,Unknown,3174828612976961
452656,Visa,4526563283387178
411538,Unknown,4115384033837143
822379,Unknown,8223797255397464
439736,Visa,4397364722749820
275917,Unknown,2759174158471541
712227,Unknown,7122279296098263
597585,Unknown,5975859865545405
992846,Unknown,9928466534604920
322517,Unknown,3225174467795881
999932,Unknown,9999321537688179
814513,Unknown,8145133963024895
318785,Unknown,3187858773397902
412575,Unknown,4125759406188842
948344,Unknown,9483448217469086
852576,Unknown,8525769498731896
769644,Unknown,7696442261642902
973705,Unknown,9737052526919598
295900,Unknown,2959004998703125
909164,Unknown,9091640033931351
790329,Unknown,7903292051931409
382813,Diners,38281327309297
176422,Unknown,1764226323482242
433718,Unknown,4337186756478156
828518,Unknown,8285186215560899
619586,Unknown,6195865194368962
684573,Unknown,6845732420783107
973933,Unknown,9739331836766248
336594,Unknown,3365943257358782
974160,Unknown,9741604993061044
209863,Unknown,2098637192578108
765389,Unknown,7653897526818075
938965,Unknown,9389658356552620
465008,Unknown,4650089704976027
943444,Unknown,9434442278747192
937539,Unknown,9375392816336967
574030,Unknown,5740309727722979
731546,Unknown,7315460901861138
397585,Diners,39758532637484
979972,Unknown,9799726430710993
723094,Unknown,7230943684051965
537261,Unknown,5372618047830136
180141,Unknown,1801418481741471
377006,Amex,377006322141645
444492,Unknown,4444921199289401
820982,Unknown,8209828736310631
590363,Unknown,5903634680016438
517510,Unknown,5175103644896556
713331,Unknown,7133319361101428
738512,Unknown,7385124178943300
842106,Unknown,8421060845298814
711571,Unknown,7115717819002569
497813,Unknown,4978135838559163
475845,Unknown,4758452676789263
774495,Unknown,7744950888189080
564676,Unknown,5646767616415238
429072,Unknown,4290728002177902
796955,Unknown,7969554810224503
238649,Unknown,2386499095757229
255863,Unknown,2558635405732092
165256,Unknown,1652560418889318
750795,Unknown,7507952539887476
515678,MasterCard,5156781482584796
449609,Unknown,4496094706306510
667039,Unknown,6670398392257398
923274,Unknown,9232740961729248
428547,Visa,4285472615180681
935974,Unknown,9359740081716095
888728,Unknown,8887281135428484
904636,Unknown,9046366436942296
201078,Unknown,2010785448847605
256951,Unknown,2569515241385537
552122,MasterCard,5521220280843879
411331,Unknown,4113315796820681
634466,Unknown,6344668486965924
233928,Unknown,2339281820790034
182629,Unknown,1826298854079843
104541,Unknown,1045415463053742
100232,Unknown,1002327239132433
